model,best_epoch,validation_energy_loss,test_cases,samples_per_case,metric_scale,RMSE,correlation,coverage_50,average_width_50,coverage_70,average_width_70,coverage_80,average_width_80,coverage_90,average_width_90,coverage_95,average_width_95,multivariate_energy_score,evaluation_runtime_seconds
M2_best_le_100,100,1.503659662246704,300,500,physical_FoI_per_day,8.414044661394407e-05,0.9891519197935431,0.49387883358471596,3.2140072469759476e-05,0.6671656611362494,4.957186159624056e-05,0.747140522875817,6.151214708334368e-05,0.8227375565610859,7.941593613013002e-05,0.861965811965812,9.512470475572414e-05,0.002888485025770737,722.0295534999968
M4_best_le_100,98,1.46279789352417,300,500,physical_FoI_per_day,6.688174689375314e-05,0.9909132119096592,0.49221719457013574,2.9789938304052415e-05,0.6641616390145801,4.596848546263014e-05,0.7434703368526898,5.704685599442244e-05,0.8204575163398693,7.365404386299406e-05,0.8598592257415787,8.82458444423665e-05,0.0024025138814968727,722.3500784999997
M4_best_le_150,146,1.365248224258423,300,500,physical_FoI_per_day,6.549041718367542e-05,0.9930355477508654,0.4900653594771242,2.667647953025759e-05,0.6614529914529914,4.111020257053782e-05,0.7397938662644545,5.0968550248975884e-05,0.8164353946706888,6.571310015616037e-05,0.8566038210155857,7.859126244970271e-05,0.0022897524295411665,721.6259646000035
M4_best_le_200,199,1.3052037620544434,300,500,physical_FoI_per_day,5.6421277535153985e-05,0.9937024736102309,0.49435771744595275,2.4175070406676377e-05,0.6651923076923076,3.724198925653604e-05,0.7431158873805933,4.615166250907413e-05,0.8178657616892911,5.944606644147345e-05,0.8566277023629965,7.102173496112288e-05,0.002008014899730538,730.4057660000035
