epoch,train_energy_loss,validation_energy_loss,learning_rate,runtime_seconds
1,9.090312770080567,5.922380241394043,0.0003,15.465881000000081
2,5.643227424621582,5.262787696838379,0.0003,32.15781409999909
3,4.941577854919434,4.679993362426758,0.0003,47.14652600000045
4,4.3909611320495605,4.150757228851318,0.0003,62.094506999997975
5,3.979332961654663,3.7558345527648926,0.0003,76.98407109999971
6,3.713735912704468,3.5660677070617677,0.0003,91.95489029999953
7,3.4953260986328125,3.3410990867614747,0.0003,106.92904830000043
8,3.308116011047363,3.2637484169006346,0.0003,122.09228050000092
9,3.1471798782348634,3.1917538566589356,0.0003,137.1691912999995
10,3.0360847988128663,2.979539644241333,0.0003,152.18013559999963
11,2.9165050556182863,2.8916185722351075,0.0003,167.1529229000007
12,2.821650623321533,2.8452585353851316,0.0003,182.09010769999804
13,2.7400568321228027,2.733197359085083,0.0003,197.08867190000092
14,2.6407671970367432,2.6006101493835447,0.0003,212.02889230000073
15,2.5803624828338623,2.545826457977295,0.0003,226.98673749999944
16,2.5188469482421874,2.5611254768371583,0.0003,241.92952779999905
17,2.45812580947876,2.4568462562561035,0.0003,256.9085849000003
18,2.410995400238037,2.4039531993865966,0.0003,271.92984579999757
19,2.352712247467041,2.406853506088257,0.0003,286.9434016999985
20,2.3134979888916014,2.261189865112305,0.0003,301.9738060999989
21,2.2735180896759033,2.2703841361999513,0.0003,316.92907990000094
22,2.2333429428100584,2.2809044895172117,0.0003,332.0472998000005
23,2.1886475051879883,2.1576174201965332,0.0003,347.0497805999985
24,2.167571281051636,2.13827068901062,0.0003,361.99939409999934
25,2.128005681228638,2.1297996406555177,0.0003,376.9876015000009
26,2.1061914775848387,2.0946981506347657,0.0003,391.93742519999796
27,2.0833481857299803,2.1157945327758787,0.0003,406.86808480000036
28,2.0573316890716553,2.0492274894714355,0.0003,421.7877413999995
29,2.026460860824585,2.0469400234222412,0.0003,436.7930536999993
30,2.023094032287598,2.068559829711914,0.0003,451.8527310999998
31,1.986941858291626,2.014980383872986,0.0003,466.8381440999983
32,1.9692599885940552,1.9430760192871093,0.0003,482.0303039999999
33,1.9509788803100585,1.9521535778045653,0.0003,497.0940343000002
34,1.9379495826721191,1.9188883438110351,0.0003,511.9838739000006
35,1.914829169845581,1.957254927635193,0.0003,526.9872121000008
36,1.9047133800506593,1.8877853298187255,0.0003,541.9198762999986
37,1.8881612182617187,1.9360667781829834,0.0003,556.8724708000009
38,1.8803177408218383,1.8995871391296386,0.0003,571.8104968999978
39,1.8594659114837646,1.8803619327545167,0.0003,586.7442107999996
40,1.8499460731506348,1.859906102180481,0.0003,601.7623244999995
41,1.8210721475601197,1.8132658052444457,0.0003,616.7481669000008
42,1.8098874223709107,1.8583556089401245,0.0003,631.7228684000002
43,1.8094294273376466,1.8602502975463868,0.0003,646.7220617999992
44,1.783988298034668,1.9012121438980103,0.0003,661.7067255000002
45,1.7810324153900146,1.8052980012893676,0.0003,676.7151575999997
46,1.7647902149200438,1.787917230606079,0.0003,691.6942297999994
47,1.7601948360443116,1.7490142879486084,0.0003,706.6766234999996
48,1.7379882122039796,1.7588070755004883,0.0003,721.6576709000001
49,1.737438875389099,1.735282925605774,0.0003,736.6998032999982
50,1.72738794631958,1.7429734344482422,0.0003,751.7174993000008
51,1.7127391511917114,1.7482234897613524,0.0003,766.7204041000005
52,1.7027841131210326,1.7207057056427002,0.0003,781.6704126999975
53,1.6953336902618408,1.7469694480895996,0.0003,796.6908139999978
54,1.6908287887573241,1.7142358884811402,0.0003,811.7278970000007
55,1.678888012123108,1.7349557390213013,0.0003,826.7558480000007
56,1.6673577739715577,1.7494150714874268,0.0003,841.7471845
57,1.6578288467407227,1.6683975210189819,0.0003,856.7135821999982
58,1.6536983158111571,1.7043591022491456,0.0003,871.6994606999979
59,1.6425635570526123,1.6761991786956787,0.0003,886.6903727999997
60,1.638178087234497,1.689415891647339,0.0003,901.6423102000008
61,1.635286780166626,1.6909744682312011,0.0003,916.6473445999982
62,1.6221821054458618,1.6537666893005372,0.0003,931.6021968999994
63,1.6096158987045288,1.64844921875,0.0003,946.577573300001
64,1.6112652858734131,1.6497166748046874,0.0003,961.5846759999986
65,1.6026849586486815,1.7048344058990479,0.0003,976.5546327999982
66,1.5984132846832275,1.6353941440582276,0.0003,991.5671991999989
67,1.5869946926116942,1.6793220100402833,0.0003,1006.6103445000008
68,1.5885190570831298,1.6209356298446655,0.0003,1021.5517990000008
69,1.5705842699050903,1.612047875404358,0.0003,1036.5600325999985
70,1.5707020915985108,1.5926233882904053,0.0003,1051.5736462999994
71,1.5660413803100586,1.6671345100402832,0.0003,1066.4871972
72,1.5584379634857177,1.5940171737670898,0.0003,1081.4899293999988
73,1.5518968910217286,1.5890992050170898,0.0003,1096.4601334
74,1.5453408061981202,1.5758222799301147,0.0003,1111.4275914999998
75,1.542371120262146,1.5486779928207397,0.0003,1126.4057721999998
76,1.540903826904297,1.5866062879562377,0.0003,1141.4048428999995
77,1.533610712814331,1.5888258895874023,0.0003,1156.5046163000006
78,1.527842293548584,1.6008615322113038,0.0003,1171.5995409999996
79,1.521584976196289,1.5392001533508302,0.0003,1186.8195478999987
80,1.517963896560669,1.547714454650879,0.0003,1201.8681324999998
81,1.5088448398590089,1.5421460876464843,0.0003,1216.8198994999984
82,1.5080996711730956,1.5272807445526122,0.0003,1231.8488184999987
83,1.5044880405426024,1.5501744995117188,0.0003,1246.876711500001
84,1.4958602336883544,1.5293214073181152,0.0003,1261.9034546000003
85,1.496206962966919,1.5080413570404052,0.0003,1276.9052076000007
86,1.4942817190170288,1.5511637859344483,0.0003,1291.9068260999993
87,1.4832655387878417,1.4916758756637574,0.0003,1307.055313599998
88,1.482234511947632,1.5138071413040162,0.0003,1322.0393110000005
89,1.4762776082992555,1.5431528091430664,0.0003,1337.0210697000002
