split,K,median_relative_L2,q90_relative_L2,q99_relative_L2,max_relative_L2,total_coefficient_dimension,minimum_reconstructed_h,fraction_reconstructed_below_zero
validation,16,0.002330116549308597,0.008023568179836705,0.022716059413143943,0.10643454663009619,816,1.7963392191375163e-23,0.0
test,16,0.002318655630766325,0.00791065937052263,0.022239295340277142,0.12052748656112633,816,3.3359312499641667e-21,0.0
